Sitio->F:ISO_3166_1_alpha2_to_lugar(lugarObj),D:BWID,D:searegion,direccion,nombre,D:categoriaAgua,D:longitud,D:latitud,D:valoracion2015,A:tipo(10)
IE,IEWEBWT170_0700_0200 ,North-east Atlantic Ocean,WEST-WEST-GALWAY CITY COUNCIL,BALLYLOUGHANE BEACH,T,-9.0183,53.2674,2
IE,IESEBWT100_0100_0100 ,North-east Atlantic Ocean,SOUTH EAST-LEINSTER-WEXFORD COUNTY COUNCIL,DUNCANNON,T,-6.9335,52.2199,2
IE,IEEABWC020_0000_0400 ,North-east Atlantic Ocean,EAST-LEINSTER-DUBLIN FINGAL,LOUGHSHINNY BEACH,C,-6.0808,53.5463,2
IE,IEEABWC090_0000_0200 ,North-east Atlantic Ocean,EAST-LEINSTER-DUBLIN CITY COUNCIL,MERRION STRAND,C,-6.2037,53.3164,2
IE,IEEABWC020_0000_0300 ,North-east Atlantic Ocean,DUBLIN-LEINSTER-DUBLIN FINGAL,RUSH. SOUTH BEACH,C,-6.095,53.5153,2
IE,IESWBWC020_0000_0300 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,YOUGHAL FRONT STRAND BEACH,C,-7.8473,51.9384,2
IE,IESEBWC050_0000_0100 ,North-east Atlantic Ocean,SOUTH EAST-MUNSTER-WATERFORD COUNTY COUNCIL,ARDMORE BEACH,C,-7.7215,51.9543,3
IE,IEEABWC020_0000_0600 ,North-east Atlantic Ocean,EAST-LEINSTER-DUBLIN FINGAL,BALBRIGGAN. FRONT STRAND BEACH,C,-6.1824,53.6127,3
IE,IESEBWC050_0000_0200 ,North-east Atlantic Ocean,SOUTH EAST-MUNSTER-WATERFORD COUNTY COUNCIL,BUNMAHON BEACH,C,-7.3669,52.1381,3
IE,IESWBWC090_0000_0100 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,COOLMAINE,C,-8.6663,51.6453,3
IE,IEEABWC090_0000_0400 ,North-east Atlantic Ocean,EAST-LEINSTER-DUBLIN CITY COUNCIL,DOLLYMOUNT STRAND,C,-6.1486,53.3663,3
IE,IESWBWC050_0000_0100 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,FOUNTAINSTOWN,C,-8.3105,51.7747,3
IE,IESWBWC040_0000_0100 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,GARRYVOE,C,-8.0023,51.8577,3
IE,IEWEBWT170_0700_0100 ,North-east Atlantic Ocean,WEST-WEST-GALWAY CITY COUNCIL,GRATTAN ROAD BEACH,T,-9.066,53.2593,3
IE,IENWBWT220_0400_0100 ,North-east Atlantic Ocean,NORTH WEST-ULSTER-DONEGAL COUNTY COUNCIL,LADY'S BAY. BUNCRANA,T,-7.4635,55.1314,3
IE,IEEABWC090_0000_0300 ,North-east Atlantic Ocean,EAST-LEINSTER-DUBLIN CITY COUNCIL,SANDYMOUNT STRAND,C,-6.2065,53.3253,3
IE,IEEABWC020_0000_0500 ,North-east Atlantic Ocean,DUBLIN-LEINSTER-DUBLIN FINGAL,SKERRIES. SOUTH BEACH,C,-6.1028,53.5826,3
IE,IEWEBWC100_0000_0100 ,North-east Atlantic Ocean,WEST-CONNAUGHT-GALWAY COUNTY COUNCIL,TRA NA BHFORBACHA. NA FORBACHA,C,-9.2254,53.2475,3
IE,IEWEBWC010_0000_0400 ,North-east Atlantic Ocean,WEST-CONNAUGHT-GALWAY COUNTY COUNCIL,TRA NA MBAN. AN SPIDEAL,C,-9.2964,53.2432,3
IE,IESWBWC020_0000_0200 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,YOUGHAL. CLAYCASTLE,C,-7.859,51.9335,3
IE,IEEABWC100_0000_0300 ,North-east Atlantic Ocean,EAST-LEINSTER-WICKLOW COUNTY COUNCIL,BRAY SOUTH PROMENADE,C,-6.0958,53.2023,4
IE,IEWEBWT180_0100_0100 ,North-east Atlantic Ocean,WEST-CONNAUGHT-GALWAY COUNTY COUNCIL,CEIBH AN SPIDEIL,T,-9.3097,53.2406,4
IE,IEEABWC070_0000_0500 ,North-east Atlantic Ocean,DUBLIN-DUBLIN-DUBLIN FINGAL,CLAREMONT BEACH,C,-6.0765,53.3903,4
IE,IEWEBWC420_0000_0100 ,North-east Atlantic Ocean,NORTH WEST-CONNAUGHT-SLIGO COUNTY COUNCIL,ENNISCRONE BEACH,C,-9.1037,54.2124,4
IE,IESWBWC090_0000_0200 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,GARRETSTOWN,C,-8.5795,51.6423,4
IE,IEEABWC020_0000_0700 ,North-east Atlantic Ocean,EAST-LEINSTER-MEATH COUNTY COUNCIL,LAYTOWN/BETTYSTOWN,C,-6.2374,53.7005,4
IE,IEWEBWC340_0000_0300 ,North-east Atlantic Ocean,WEST-CONNAUGHT-MAYO COUNTY COUNCIL,OLD HEAD BEACH. LOUISBURGH,C,-9.7686,53.7772,4
IE,IENWBWC190_0000_0300 ,North-east Atlantic Ocean,NORTH WEST-ULSTER-DONEGAL COUNTY COUNCIL,PORTNABLAGH,C,-7.9272,55.181,4
IE,IEEABWC020_0000_0200 ,North-east Atlantic Ocean,DUBLIN-LEINSTER-DUBLIN FINGAL,PORTRANE. THE BROOK BEACH,C,-6.1072,53.4951,4
IE,IENWBWC220_0000_0200 ,North-east Atlantic Ocean,NORTH WEST-ULSTER-DONEGAL COUNTY COUNCIL,RATHMULLAN,C,-7.5297,55.0966,4
IE,IESWBWC020_0000_0100 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,REDBARN,C,-7.8709,51.9243,4
IE,IEEABWC100_0000_0100 ,North-east Atlantic Ocean,EAST-LEINSTER-WICKLOW COUNTY COUNCIL,SILVER STRAND,C,-6.0119,52.9533,4
IE,IESWBWC110_0000_0100 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-CORK COUNTY COUNCIL,WARREN. CREGANE STRAND,C,-9.0132,51.5649,4
IE,IEWEBWC010_0000_0300 ,North-east Atlantic Ocean,WEST-CONNAUGHT-GALWAY COUNTY COUNCIL,AN TRA MOR. COILL RUA. INDREABHAN,C,-9.3563,53.2409,5
IE,IESWBWC200_0000_0100 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-KERRY COUNTY COUNCIL,BAILE AN SCEILG (BALLINSKELLIGS),C,-10.2709,51.8215,5
IE,IESEBWC010_0000_0250 ,,--WEXFORD COUNTY COUNCIL,BALLINESKER,C,-6.3576,52.3995,5
IE,IESHBWL27_72_0100 ,North-east Atlantic Ocean,MID-WEST-MUNSTER-CLARE COUNTY COUNCIL,BALLYALLIA LAKE. ENNIS,L,-8.9712,52.8751,5
IE,IESHBWC060_0000_0200 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-KERRY COUNTY COUNCIL,BALLYBUNNION NORTH,C,-9.6795,52.5135,5
IE,IESHBWC060_0000_0300 ,North-east Atlantic Ocean,SOUTH WEST-MUNSTER-KERRY COUNTY COUNCIL,BALLYBUNNION SOUTH,C,-9.6825,52.5106,5
