Lugar->id,D:ISO_3166_1_alpha2,D:ISO_3166_1_alpha3,D:ISO_3166_1_num
34,AF,AFG,4
35,AL,ALB,8
36,DZ,DZA,12
37,AS,ASM,16
38,AD,AND,20
39,AO,AGO,24
40,AI,AIA,660
41,AQ,ATA,10
42,AG,ATG,28
43,AR,ARG,32
44,AM,ARM,51
45,AW,ABW,533
46,AU,AUS,36
47,AT,AUT,40
48,AZ,AZE,31
49,BS,BHS,44
50,BH,BHR,48
51,BD,BGD,50
52,BB,BRB,52
53,BY,BLR,112
54,BE,BEL,56
55,BZ,BLZ,84
56,BJ,BEN,204
57,BM,BMU,60
58,BT,BTN,64
59,BO,BOL,68
60,BA,BIH,70
61,BW,BWA,72
62,BR,BRA,76
63,BN,BRN,96
64,BG,BGR,100
65,BF,BFA,854
66,BI,BDI,108
67,KH,KHM,116
68,CM,CMR,120
69,CA,CAN,124
70,CV,CPV,132
71,KY,CYM,136
72,CF,CAF,140
73,TD,TCD,148
74,CL,CHL,152
75,CN,CHN,156
76,CX,CXR,162
77,CC,CCK,166
78,CO,COL,170
79,KM,COM,174
80,CD,COD,180
81,CG,COG,178
82,CK,COK,184
83,CR,CRI,188
84,CI,CIV,384
85,HR,HRV,191
86,CU,CUB,192
87,CY,CYP,196
88,CZ,CZE,203
89,DK,DNK,208
90,DJ,DJI,262
91,DM,DMA,212
92,DO,DOM,214
94,EC,ECU,218
95,EG,EGY,818
96,SV,SLV,222
97,GQ,GNQ,226
98,ER,ERI,232
99,EE,EST,233
100,ET,ETH,231
101,FK,FLK,238
102,FO,FRO,234
103,FJ,FJI,242
104,FI,FIN,246
105,FR,FRA,250
106,GF,GUF,254
107,PF,PYF,258
108,TF,ATF,260
109,GA,GAB,266
110,GM,GMB,270
111,GE,GEO,268
112,DE,DEU,276
113,GH,GHA,288
114,GI,GIB,292
116,GR,GRC,300
117,GL,GRL,304
118,GD,GRD,308
119,GP,GLP,312
120,GU,GUM,316
121,GT,GTM,320
122,GN,GIN,324
123,GW,GNB,624
124,GY,GUY,328
273,HT,HTI,332Haiti
127,HN,HND,340
128,HK,HKG,344
129,HU,HUN,348
130,IS,ISL,352
131,IN,IND,356
132,ID,IDN,360
133,IR,IRN,364
134,IQ,IRQ,368
135,IE,IRL,372
136,IL,ISR,376
137,IT,ITA,380
138,JM,JAM,388
139,JP,JPN,392
140,JO,JOR,400
141,KZ,KAZ,398
142,KE,KEN,404
143,KI,KIR,296
144,KP,PRK,408
145,KR,KOR,410
147,KW,KWT,414
148,KG,KGZ,417
149,LA,LAO,418
150,LV,LVA,428
151,LB,LBN,422
152,LS,LSO,426
153,LR,LBR,430
154,LY,LBY,434
155,LI,LIE,438
156,LT,LTU,440
157,LU,LUX,442
158,MO,MAC,446
159,MK,MKD,807
160,MG,MDG,450
161,MW,MWI,454
162,MY,MYS,458
163,MV,MDV,462
164,ML,MLI,466
165,MT,MLT,470
166,MH,MHL,584
167,MQ,MTQ,474
168,MR,MRT,478
169,MU,MUS,480
170,YT,MYT,175
171,MX,MEX,484
172,FM,FSM,583
173,MD,MDA,498
174,MC,MCO,492
175,MN,MNG,496
177,MS,MSR,500
178,MA,MAR,504
179,MZ,MOZ,508
180,MM,MMR,104
181,NA,NAM,516
182,NR,NRU,520
183,NP,NPL,524
184,NL,NLD,528
185,AN,ANT,530
186,NC,NCL,540
187,NZ,NZL,554
188,NI,NIC,558
189,NE,NER,562
190,NG,NGA,566
191,NU,NIU,570
192,MP,MNP,580
193,NO,NOR,578
194,OM,OMN,512
195,PK,PAK,586
196,PW,PLW,585
197,PS,PSE,275
198,PA,PAN,591
199,PG,PNG,598
200,PY,PRY,600
201,PE,PER,604
202,PH,PHL,608
203,PN,PCN,612
204,PL,POL,616
205,PT,PRT,620
206,PR,PRI,630
207,QA,QAT,634
208,RE,REU,638
209,RO,ROU,642
329,RU,RUS,643
211,RW,RWA,646
212,KN,KNA,659
213,LC,LCA,662
214,VC,VCT,670
215,WS,WSM,882
216,SM,SMR,674
217,ST,STP,678
218,SA,SAU,682
219,SN,SEN,686
220,CS,SCG,891
221,SC,SYC,690
222,SL,SLE,694
223,SG,SGP,702
224,SK,SVK,703
225,SI,SVN,705
226,SB,SLB,90
227,SO,SOM,706
228,ZA,ZAF,710
229,GS,SGS,239
230,ES,ESP,724
231,LK,LKA,144
232,SD,SDN,736
233,SR,SUR,740
234,SZ,SWZ,748
235,SE,SWE,752
236,CH,CHE,756
237,SY,SYR,760
238,TW,TWN,158
239,TJ,TJK,762
240,TZ,TZA,834
241,TH,THA,764
244,TG,TGO,768
245,TK,TKL,772
246,TO,TON,776
247,TT,TTO,780
248,TN,TUN,788
249,TR,TUR,792
250,TM,TKM,795
251,TC,TCA,796
252,TV,TUV,798
253,UG,UGA,800
254,UA,UKR,804
255,AE,ARE,784
115,GB,GBR,826
257,US,USA,840
258,UY,URY,858
259,UZ,UZB,860
260,VU,VUT,548
261,VA,VAT,336
262,VE,VEN,862
263,VN,VNM,704
264,VG,VGB,92
265,VI,VIR,850
266,WF,WLF,876
267,EH,ESH,732
268,YE,YEM,887
269,ZM,ZMB,894
270,ZW,ZWE,716
