Riesgo->F:ISO_3166_1_alpha2_to_lugar(lugar);A:peligro(76);probabilidad;texto;text;fechaActivacion;caducidad;formulaDisipacion
AF;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
DZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AD;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AO;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
AG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AR;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
AM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BD;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BB;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BJ;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
BT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BO;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
BA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BW;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BR;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
BN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BF;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
BI;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
KH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CM;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
CA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CV;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CF;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
TD;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
CL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CO;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
KM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CG;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
CR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CI;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
HR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
